productid,brand,name,price,category,description,comment_count,rating_score
815180318,LİBİDOS,Etkili Bitkisel,"328,99 TL",Gıda ve İçecek,Karışım Macun 12 gr *12 Adet,12,
2946176,Mehmet Efendi,Kurukahveci 100,"1.058,75 TL",Gıda ve İçecek,gr 25'li Paket Türk Kahvesi,11786,4.8
666071948,RAWMYGOD,"Glutensiz Elmalı,",139 TL,Gıda ve İçecek,Badem Ezmeli Kuruyemiş Ve Meyve Topları 3'lü Paket 84g X 3 Paket,26,4.7
55413395,Kahve Dünyası,4'lü Filtre,"331,95 TL",Gıda ve İçecek,Kahve,8762,4.7
258623270,KOFFIEBOON,/ 1 Kg /,"399,99 TL",Gıda ve İçecek,Restaurant - Cafe Series / Z-13 / Wholesale Pack / Kavrulmuş Kahve,1461,4.4
760559900,MRS.UMRANTOO,Karahindiba,"403,90 TL",Gıda ve İçecek,Detox Kahve 30 Saşe,8087,4.2
766523104,Alsancak Kuru Kahvecisi 1967'den Beri,,359 TL,Gıda ve İçecek,Orta Kavrulmuş Türk Kahvesi 100gr x 10 Adet,10,5.0
683815635,Züber,Granola Bar Deneme,"196,50 TL",Gıda ve İçecek,Paketi,3196,4.7
44867039,KOFFIEBOON,Puro Italiano - 1,"549,99 TL",Gıda ve İçecek,Kg - Çekirdek Kahve / Orta Kavrulmuş / Filtre Kahve Harmanı / Öğütülmemiş /,273,4.5
333139231,Coreganic,Zencefil & Limon,189 TL,Gıda ve İçecek,Özü,1623,4.5
265660655,Fermente Mutfağım,Pancar,"242,50 TL",Gıda ve İçecek,Kvass (KIRMIZI PANCAR SUYU) 500 ml,39,4.4
740891790,Zühre Ana,Hurma Özü 350 Gr,"219,90 TL",Gıda ve İçecek,,2662,4.4
130323853,BEYORGANİK,Organik Bey Tonik,201 TL,Gıda ve İçecek,(zerdeçallı-zencefilli) Bey Tonik 185gr,3059,4.6
332020956,Meri Detox,1 Adet Detox,400 TL,Gıda ve İçecek,Kapsül 30'lu,1133,4.5
142487909,Züber,Orıgınal Fıstık Ezmesi,"126,95 TL",Gıda ve İçecek,315g,306,4.6
736409607,KARNA LİFE,Kozalak Şurubu 500,198 TL,Gıda ve İçecek,ml,22,4.4
683042821,Meri Detox,Tea Detoks Çayı 60,460 TL,Gıda ve İçecek,Adet 1 Aylik Kullanim-,1833,4.6
740789925,Caffe Del Bello,Guetemala,400 TL,Gıda ve İçecek,Filtre Kahve 1 Kg. (ÇEKİRDEK VEYA ÖĞÜTÜLMÜŞ),3,5.0
830430374,DOREE BEAUTE,Detox yardımcı,480 TL,Gıda ve İçecek,bitkisel çay 3 li sets,88,5.0
89459992,Dozze,Fit Filtre Kahve 250 gr,199 TL,Gıda ve İçecek,( Yeni Formül ),41,4.5
47162073,Herby,Sleep Tea Uyku Öncesi,"175,90 TL",Gıda ve İçecek,Rahatlatıcı Pasifloralı Bitki Çayı 2'li Paket,193,4.5
276033784,Antebella,Antep Fıstık Ezmesi,350 TL,Gıda ve İçecek,(PARÇACIKLI) 200 gr,374,4.6
831341700,MELADES,"Kakaolu, Vitaminli",249 TL,Gıda ve İçecek,Arı Sütlü Iştah Açıcı - Kilo Aldırıcı Bitkisel Macun,188,4.9
236894212,OG natural,Organik,"192,59 TL",Gıda ve İçecek,Keçiboynuzu Pekmezi +6 Ay 300 Gr,672,4.8
82392040,wiltlife,Detox,535 TL,Gıda ve İçecek,,1708,4.3
346094913,Zühre Ana,Kozalak Şurubu,238 TL,Gıda ve İçecek,Servi Kozalağı Ve Kara Mürver Içeren Şurup 650 Ml,7659,4.6
834407073,muros's coffee roastery,,195 TL,Gıda ve İçecek,MUROS'S COFFEE ÖĞÜTÜLMÜŞ FİLTRE KAHVE GUATEMALA 250GR,0,
138779958,minceur,Nar Çiçekli Karışık,579 TL,Gıda ve İçecek,Bitkisel Zayıflamaçayı 200gr 8682923978615,411,
798154773,Züber,Kidz Meyve Küpü Deneme,111 TL,Gıda ve İçecek,Paketi 49g X 3 Adet,197,4.5
795163368,Luga,Karadut Özü 700 gr Black,"124,90 TL",Gıda ve İçecek,Mulberry Extract,91,4.5
270956470,Wefood,Organik Tahin 300 gr,450 TL,Gıda ve İçecek,3'lü Yerli Susam,54,4.7
784253924,Muwest Naturel,Detoxmix Kilo,269 TL,Gıda ve İçecek,Vermeye Ödem Atmaya Yardımcı Detoks Suyu Detox,77,
303622338,STAYFİT,Bromelain Ekstreli 45,449 TL,Gıda ve İçecek,Günlük Detox Tea 280 gr,319,4.0
141018766,Elisa Gıda,Midi Sushi Set /,"299,90 TL",Gıda ve İçecek,Suşi Seti,2050,4.7
834596970,Asil,AsilCoffee 1. Kalite,299 TL,Gıda ve İçecek,Premium Çekirdek Kahve 250 Gr,0,
200345623,FIORELLA,La Truffa Sütlü 200,"56,99 TL",Gıda ve İçecek,Gr. (1 Paket),6520,4.5
799996160,GLOX,Tea Bromelain,399 TL,Gıda ve İçecek,Metabolizma Düzenlemeye Yardımcı Bitkisel Çay,325,4.9
130559824,Züber,Fıstık Ezmesi 3 Adet X,"345,80 TL",Gıda ve İçecek,315 gr,23616,4.6
380615700,Hepsi Enteresan,Canım,"384,90 TL",Gıda ve İçecek,"Öğretmenim Seni Sevmemin 30 Nedeni, Öğretmenler Günü, Öğretmene Hediye",22,4.7
788858071,Tchibo,Gold Selection,"379,90 TL",Gıda ve İçecek,Öğütülmüş Filtre Kahve 4x250 gr,10361,4.8
780256333,Gelincik,5 Kg Antep Fıstığı,3.599 TL,Gıda ve İçecek,Kreması,2,5.0
809996518,Wefood,Karadut Özü 700 gr,716 TL,Gıda ve İçecek,(Soğuk Sıkım) 4'lü,1,
34585010,Tchibo,Barista Caffè Crema,"699,90 TL",Gıda ve İçecek,Çekirdek Kahve 1000 g,3852,4.8
154812500,Soul Kitchen Organik Ürünler,,"157,50 TL",Gıda ve İçecek,Organik Bebek Keçiboynuzu Özü 315gr-(SOĞUK SIKIM) (ŞEKER İLAVESİZ),300,4.8
751586695,Şifamix,Detox Plus 1 Aylık,320 TL,Gıda ve İçecek,Kahve Diyeti,2011,4.4
827846389,UNOVA,Türk Kahvesi 2kg,620 TL,Gıda ve İçecek,,4,5.0
46533312,Anisah Coffee,Kenya %100,"119,90 TL",Gıda ve İçecek,Arabica Premium Öğütülmüş Filtre Kahve 250g | Orta Kavrulmuş (MEDİUM ROAST),69,4.6
79754602,Kahve Dünyası,"Lavi Fıstıklı,",140 TL,Gıda ve İçecek,Sütlü Dolgulu Çikolata 300g,10888,4.8
796867128,Dr. Bronos,Form Detoks,"227,90 TL",Gıda ve İçecek,Sirkesi 500ml-%100 Doğal - Diyete Destek - Ödem Atmaya Yardımcı,4,5.0
829926314,DOREE BEAUTE,Çocuk macunu,245 TL,Gıda ve İçecek,-kakao propolis pekmez arı sütü bal ve vitamin 240 gr,216,5.0
834595947,Asil,AsilCoffee Türk Kahvesi,"69,99 TL",Gıda ve İçecek,100 Gr,0,
37634572,Jacobs,Selection Filtre Kahve,"349,90 TL",Gıda ve İçecek,250 gr 4 Al 3 Öde,4128,4.8
322267032,Kuru Yeşil,Ham Kakao Tozu 150,178 TL,Gıda ve İçecek,"Gr | Ham Kakao | Glutensiz | Katkı Yok, Doğal",11,4.6
687819746,DYT MEHTAP YAKUT,Form Çayı,389 TL,Gıda ve İçecek,,1157,4.3
353977183,zadelife,Yaban Mersini Özü,204 TL,Gıda ve İçecek,700 gr,2608,4.7
828146585,UNOVA,%100 Arabica Kenya,540 TL,Gıda ve İçecek,Filtre Kahve 1 Kg,2,5.0
121263364,Genel Markalar,Long Island –,"242,80 TL",Gıda ve İçecek,Şeftali Ve Güllü Siyah-yeşil Çay - 12 Müslin Çay Poşeti,37,4.7
6129092,Moliendo,Amalfi Espresso,491 TL,Gıda ve İçecek,Blend Kahve (ÇEKİRDEK KAHVE) 1000 G,1034,4.8
102270121,Minecal,Doğal Fermente,"185,91 TL",Gıda ve İçecek,Enginar Sirkesi 2x500ml,29,4.7
192191272,HAVRAN KOCASEYİT,Yaban,"209,90 TL",Gıda ve İçecek,Mersini 700 gr,607,4.6
31756923,Atasagun Şifa,Matcha Detox,190 TL,Gıda ve İçecek,Toz 20'li,22,4.0
790292890,SHOPINGTR,Berrie's® Karadut,"319,99 TL",Gıda ve İçecek,Özü & Yaban Mersini Özü,19,5.0
105199371,Elvan,Choc Choc 500 Gr. (1,"103,99 TL",Gıda ve İçecek,Kutu),3104,4.5
312410815,Dagk,Gold Kahve 180 gr,"199,50 TL",Gıda ve İçecek,(GRANÜL ÇÖZÜNEBİLİR),174,4.7
811629792,Farex,50'lijel Zayiflama.,395 TL,Gıda ve İçecek,"Destek, Kilo Verdiricinz, Ödem Atıcı Detoks Detox Yardım Bitki Çayı Etkisi Happy",104,5.0
712285713,NORDİA,Barista No:3 Çekirdek,339 TL,Gıda ve İçecek,(1 KG) Filtre Kahve,120,4.7
702193523,ApAyrı Yaşam,Kilo Verme Ve,325 TL,Gıda ve İçecek,"Boşaltıma Yardımcı, Ödem, Gaz, Şişkinlik Giderici Bio Detoks Form Çayı Apaform",1780,4.6
744359419,Collagen Life,Kolajen,"232,90 TL",Gıda ve İçecek,İçerikli Çikolata Aromalı Kilo Almaya Ve İştah Açmaya Yardımcı Toz,68,
818433679,NOVACOLIN,Detox Classic,400 TL,Gıda ve İçecek,Coffee 30 Sachet,0,
796179513,Zühre Ana,Elma Sirkesi Doğal,218 TL,Gıda ve İçecek,Fermantasyon Apple Cider Vinegar 500 Ml,365,4.7
698647833,Güzel Ada Gıda,Organik Elma,"203,99 TL",Gıda ve İçecek,Sirkesi 500 Ml,71,4.8
829011663,Bebeğimin Marketi,Ananas,215 TL,Gıda ve İçecek,Sİrkesi 500 ml,0,
